Method,model,params,p1_mean,p1_std,p2_mean,p2_std,p3_mean,p3_std,p4_mean,p4_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
Classical MCMC,lcdm,Om|H0,0.256935,0.016012,70.794687,1.092339,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,0.5269,,101.6,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.262499,0.020835,70.393029,1.375470,,,,,4.8,3,27.4691,51,0.5606,31.4691,35.3328,0.4756,,101.3,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.262499,0.020835,70.393029,1.375470,,,,,6.9,3,27.4691,51,0.5606,31.4691,35.3328,0.4756,,101.3,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258283,0.044329,71.179944,2.661753,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,6000.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257037,0.044530,71.276976,2.724578,,,,,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260894,0.045398,70.751710,2.876157,,,,,5.0,3,27.4691,51,0.5606,31.4691,35.3328,,10.589186,91.2,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260894,0.045398,70.751710,2.876157,,,,,5.0,3,27.4691,51,0.5606,31.4691,35.3328,,10.589186,91.2,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.256935,0.016012,70.794687,1.092339,,,,,0.5,—,27.4691,51,0.5606,31.4691,35.3328,0.5269,,101.6,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.262499,0.020835,70.393029,1.375470,,,,,5.2,3,27.4691,51,0.5606,31.4691,35.3328,0.4756,,101.3,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.262499,0.020835,70.393029,1.375470,,,,,7.0,3,27.4691,51,0.5606,31.4691,35.3328,0.4756,,101.3,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258283,0.044329,71.179944,2.661753,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,6000.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257037,0.044530,71.276976,2.724578,,,,,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260894,0.045398,70.751710,2.876157,,,,,4.9,3,27.4691,51,0.5606,31.4691,35.3328,,10.589186,91.2,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260894,0.045398,70.751710,2.876157,,,,,5.3,3,27.4691,51,0.5606,31.4691,35.3328,,10.589186,91.2,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.256935,0.016012,70.794687,1.092339,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,0.5269,,101.6,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.262883,0.017617,70.442283,1.193362,,,,,9.2,3,27.4691,51,0.5606,31.4691,35.3328,0.5092,,140.8,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.264775,0.018080,70.340117,1.211492,,,,,11.7,3,27.4691,51,0.5606,31.4691,35.3328,0.5097,,117.2,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.259518,0.043428,71.112215,2.774432,,,,,0.5,—,27.4691,51,0.5606,31.4691,35.3328,,12.511461,6000.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.259146,0.043525,71.184988,2.830066,,,,,0.6,3,27.4691,51,0.5606,31.4691,35.3328,,12.511461,98.6,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.261580,0.045290,70.727692,2.907384,,,,,16.8,3,27.4691,51,0.5606,31.4691,35.3328,,11.159499,106.9,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.261580,0.045290,70.727692,2.907384,,,,,16.6,3,27.4691,51,0.5606,31.4691,35.3328,,11.159499,106.9,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.256935,0.016012,70.794687,1.092339,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,0.5269,,101.6,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.264013,0.017153,70.363560,1.150986,,,,,5.8,3,27.4691,51,0.5606,31.4691,35.3328,0.5144,,151.7,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.264690,0.017908,70.350569,1.205854,,,,,17.6,3,27.4691,51,0.5606,31.4691,35.3328,0.5094,,118.2,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258726,0.044009,71.126145,2.811638,,,,,1.3,—,27.4691,51,0.5606,31.4691,35.3328,,12.756912,6000.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257566,0.044179,71.227740,2.872960,,,,,1.3,3,27.4691,51,0.5606,31.4691,35.3328,,12.756912,109.7,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260317,0.045279,70.816077,2.949378,,,,,19.9,3,27.4691,51,0.5606,31.4691,35.3328,,11.572685,116.0,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260317,0.045279,70.816077,2.949378,,,,,19.4,3,27.4691,51,0.5606,31.4691,35.3328,,11.572685,116.0,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.256935,0.016012,70.794687,1.092339,,,,,1.3,—,27.4691,51,0.5606,31.4691,35.3328,0.5269,,101.6,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.262883,0.017617,70.442283,1.193362,,,,,4.9,3,27.4691,51,0.5606,31.4691,35.3328,0.5092,,140.8,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.262883,0.017617,70.442283,1.193362,,,,,6.9,3,27.4691,51,0.5606,31.4691,35.3328,0.5092,,140.8,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258283,0.044329,71.179944,2.661753,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,6000.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257037,0.044530,71.276976,2.724578,,,,,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260894,0.045398,70.751710,2.876157,,,,,5.2,3,27.4691,51,0.5606,31.4691,35.3328,,10.589186,91.2,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260894,0.045398,70.751710,2.876157,,,,,5.2,3,27.4691,51,0.5606,31.4691,35.3328,,10.589186,91.2,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.256935,0.016012,70.794687,1.092339,,,,,0.8,—,27.4691,51,0.5606,31.4691,35.3328,0.5269,,101.6,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.263722,0.017543,70.381015,1.172640,,,,,45.0,3,27.4691,51,0.5606,31.4691,35.3328,0.5078,,142.7,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.263965,0.017254,70.410534,1.188588,,,,,1263.3,3,27.4691,51,0.5606,31.4691,35.3328,0.5044,,115.9,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.260143,0.043102,71.109813,2.857744,,,,,82.3,—,27.4691,51,0.5606,31.4691,35.3328,,12.733945,6000.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.258426,0.043600,71.225578,2.925215,,,,,88.5,3,27.4691,51,0.5606,31.4691,35.3328,,12.733945,113.2,CC+BAO,flat
