Method,model,params,p1_mean,p1_std,p2_mean,p2_std,p3_mean,p3_std,p4_mean,p4_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
Classical MCMC,lcdm,Om|H0,0.255337,0.017189,70.882899,1.179829,,,,,0.7,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.259689,0.016423,70.605725,1.104681,,,,,4.4,3,27.4691,51,0.5606,31.4691,35.3328,0.5253,,120.0,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.262191,0.019539,70.472555,1.280646,,,,,10.9,3,27.4691,51,0.5606,31.4691,35.3328,0.5275,,106.0,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.257758,0.044253,71.190835,2.838595,,,,,0.9,—,27.4691,51,0.5606,31.4691,35.3328,,12.756912,3072.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.258264,0.044122,71.259323,2.842639,,,,,0.9,3,27.4691,51,0.5606,31.4691,35.3328,,12.756912,109.7,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.261111,0.045164,70.772872,2.945683,,,,,18.9,3,27.4691,51,0.5606,31.4691,35.3328,,10.972921,108.1,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.261111,0.045164,70.772872,2.945683,,,,,18.9,3,27.4691,51,0.5606,31.4691,35.3328,,10.972921,108.1,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.255337,0.017189,70.882899,1.179829,,,,,0.6,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.259689,0.016423,70.605725,1.104681,,,,,4.5,3,27.4691,51,0.5606,31.4691,35.3328,0.5253,,120.0,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.262191,0.019539,70.472555,1.280646,,,,,11.1,3,27.4691,51,0.5606,31.4691,35.3328,0.5275,,106.0,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.257758,0.044253,71.190835,2.838595,,,,,0.8,—,27.4691,51,0.5606,31.4691,35.3328,,12.756912,3072.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.258264,0.044122,71.259323,2.842639,,,,,0.9,3,27.4691,51,0.5606,31.4691,35.3328,,12.756912,109.7,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.261111,0.045164,70.772872,2.945683,,,,,19.2,3,27.4691,51,0.5606,31.4691,35.3328,,10.972921,108.1,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.261111,0.045164,70.772872,2.945683,,,,,18.5,3,27.4691,51,0.5606,31.4691,35.3328,,10.972921,108.1,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.255337,0.017189,70.882899,1.179829,,,,,0.6,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.259689,0.016423,70.605725,1.104681,,,,,4.6,3,27.4691,51,0.5606,31.4691,35.3328,0.5253,,120.0,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.262191,0.019539,70.472555,1.280646,,,,,11.5,3,27.4691,51,0.5606,31.4691,35.3328,0.5275,,106.0,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.257758,0.044253,71.190835,2.838595,,,,,0.8,—,27.4691,51,0.5606,31.4691,35.3328,,12.756912,3072.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.258264,0.044122,71.259323,2.842639,,,,,0.9,3,27.4691,51,0.5606,31.4691,35.3328,,12.756912,109.7,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.261111,0.045164,70.772872,2.945683,,,,,19.2,3,27.4691,51,0.5606,31.4691,35.3328,,10.972921,108.1,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.261111,0.045164,70.772872,2.945683,,,,,17.3,3,27.4691,51,0.5606,31.4691,35.3328,,10.972921,108.1,CC+BAO,flat
