Method,model,params,p1_mean,p1_std,p2_mean,p2_std,p3_mean,p3_std,p4_mean,p4_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
Classical MCMC,lcdm,Om|H0,0.255337,0.017189,70.882899,1.179829,,,,,0.7,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.259340,0.016633,70.613376,1.116002,,,,,3.7,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.259340,0.016633,70.613376,1.116002,,,,,5.3,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258331,0.044488,71.231177,2.677007,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,3072.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257071,0.044609,71.322651,2.737595,,,,,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260358,0.044907,70.739566,2.890660,,,,,5.3,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260358,0.044907,70.739566,2.890660,,,,,5.4,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.255337,0.017189,70.882899,1.179829,,,,,0.7,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.259340,0.016633,70.613376,1.116002,,,,,3.7,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.259340,0.016633,70.613376,1.116002,,,,,5.3,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258331,0.044488,71.231177,2.677007,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,3072.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257071,0.044609,71.322651,2.737595,,,,,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260358,0.044907,70.739566,2.890660,,,,,5.3,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260358,0.044907,70.739566,2.890660,,,,,5.8,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
Classical MCMC,lcdm,Om|H0,0.255337,0.017189,70.882899,1.179829,,,,,0.6,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,lcdm,Om|H0,0.259340,0.016633,70.613376,1.116002,,,,,3.8,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
QMCMC 100%,lcdm,Om|H0,0.259340,0.016633,70.613376,1.116002,,,,,5.5,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
Classical VI,lcdm,Om|H0,0.258331,0.044488,71.231177,2.677007,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,3072.0,CC+BAO,flat
QVMC 33%,lcdm,Om|H0,0.257071,0.044609,71.322651,2.737595,,,,,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,lcdm,Om|H0,0.260358,0.044907,70.739566,2.890660,,,,,5.4,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
QVMC 100%,lcdm,Om|H0,0.260358,0.044907,70.739566,2.890660,,,,,5.3,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
