Method,Om_mean,Om_std,H0_mean,H0_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
Classical MCMC,0.255337,0.017189,70.882899,1.179829,0.7,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,0.263041,0.020374,70.359567,1.303721,3.9,3,27.4691,51,0.5606,31.4691,35.3328,0.4853,,68.9,CC+BAO,flat
QMCMC 100%,0.263041,0.020374,70.359567,1.303721,5.4,3,27.4691,51,0.5606,31.4691,35.3328,0.4853,,68.9,CC+BAO,flat
Classical VI,0.258331,0.044488,71.231177,2.677007,0.3,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,3072.0,CC+BAO,flat
QVMC 33%,0.257071,0.044609,71.322651,2.737595,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,0.260358,0.044907,70.739566,2.890660,5.3,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
QVMC 100%,0.260358,0.044907,70.739566,2.890660,5.5,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
Classical MCMC,0.255337,0.017189,70.882899,1.179829,0.7,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,0.263041,0.020374,70.359567,1.303721,3.8,3,27.4691,51,0.5606,31.4691,35.3328,0.4853,,68.9,CC+BAO,flat
QMCMC 100%,0.263041,0.020374,70.359567,1.303721,5.5,3,27.4691,51,0.5606,31.4691,35.3328,0.4853,,68.9,CC+BAO,flat
Classical VI,0.258331,0.044488,71.231177,2.677007,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,3072.0,CC+BAO,flat
QVMC 33%,0.257071,0.044609,71.322651,2.737595,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,0.260358,0.044907,70.739566,2.890660,5.2,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
QVMC 100%,0.260358,0.044907,70.739566,2.890660,5.7,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
Classical MCMC,0.255337,0.017189,70.882899,1.179829,0.6,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,0.263041,0.020374,70.359567,1.303721,3.9,3,27.4691,51,0.5606,31.4691,35.3328,0.4853,,68.9,CC+BAO,flat
QMCMC 100%,0.263041,0.020374,70.359567,1.303721,5.7,3,27.4691,51,0.5606,31.4691,35.3328,0.4853,,68.9,CC+BAO,flat
Classical VI,0.258331,0.044488,71.231177,2.677007,0.4,—,27.4691,51,0.5606,31.4691,35.3328,,12.088519,3072.0,CC+BAO,flat
QVMC 33%,0.257071,0.044609,71.322651,2.737595,0.4,3,27.4691,51,0.5606,31.4691,35.3328,,12.088519,95.4,CC+BAO,flat
QVMC 67%,0.260358,0.044907,70.739566,2.890660,5.4,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
QVMC 100%,0.260358,0.044907,70.739566,2.890660,5.5,3,27.4691,51,0.5606,31.4691,35.3328,,9.802123,76.9,CC+BAO,flat
